timestamp,frame,ego_speed,ego_acceleration,ego_jerk,ego_pos_x,ego_pos_y,ego_yaw,lead_speed,lead_acceleration,lead_target_speed,distance_headway,time_headway,relative_speed,ttc,throttle,brake,steer,longitudinal_control,control_mode,gear,lead_behavior_mode
0.0015,0,18.7009,-0.2116,0.0,-5.98,-106.19,89.78,18.6738,0.2722,20.0,42.99,2.3,0.0271,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.0225,1,18.6903,-0.2114,0.0091,-5.98,-105.25,89.78,18.6862,0.2469,19.98,42.99,2.3,0.0041,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.0557,2,18.6798,-0.2112,0.0046,-5.97,-104.32,89.78,18.697,0.216,19.96,42.99,2.3,-0.0172,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.094,3,18.6692,-0.211,0.005,-5.97,-103.38,89.78,18.7061,0.1817,19.94,43.0,2.3,-0.0369,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.1328,4,18.6587,-0.2109,0.003,-5.96,-102.45,89.78,18.7134,0.1461,19.92,43.0,2.3,-0.0547,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.1546,5,18.6481,-0.2107,0.0087,-5.96,-101.52,89.78,18.7189,0.1102,19.9,43.0,2.31,-0.0708,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.1952,6,18.6376,-0.2105,0.0047,-5.96,-100.59,89.78,18.7226,0.0749,19.88,43.01,2.31,-0.085,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.2283,7,18.6271,-0.2103,0.0058,-5.95,-99.65,89.78,18.7249,0.0446,19.88,43.01,2.31,-0.0978,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.2536,8,18.6166,-0.2102,0.006,-5.95,-98.72,89.78,18.7258,0.0189,19.86,43.02,2.31,-0.1092,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.2958,9,18.6061,-0.21,0.0036,-5.95,-97.79,89.78,18.7253,-0.0108,19.82,43.02,2.31,-0.1192,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.3205,10,18.5956,-0.2099,0.0062,-5.94,-96.86,89.78,18.7231,-0.0433,19.8,43.03,2.31,-0.1275,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.3618,11,18.5851,-0.2097,0.0046,-5.94,-95.93,89.78,18.7195,-0.0725,19.78,43.03,2.32,-0.1344,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.3865,12,18.5746,-0.2095,0.0062,-5.94,-95.0,89.78,18.7145,-0.0989,19.76,43.04,2.32,-0.1399,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.4279,13,18.5641,-0.2094,0.0037,-5.93,-94.08,89.78,18.7084,-0.1227,19.74,43.05,2.32,-0.1442,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
