timestamp,frame,ego_speed,ego_acceleration,ego_jerk,ego_pos_x,ego_pos_y,ego_yaw,lead_pos_x,lead_pos_y,lead_yaw,lead_speed,lead_acceleration,lead_target_speed,distance_headway,time_headway,relative_speed,ttc,throttle,brake,steer,longitudinal_control,control_mode,gear,lead_behavior_mode
0.003,0,0.0001,0.0067,0.0,2999.95,-3.88,179.99,2939.46,-3.87,-179.84,1.9702,0.9112,2.1667,56.01,999.0,-1.9702,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.0349,1,0.0003,0.0063,-0.0141,2999.95,-3.88,179.99,2939.35,-3.87,-179.85,2.1195,2.9858,2.2225,56.11,999.0,-2.1193,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.0708,2,0.0001,0.0057,-0.0158,2999.95,-3.88,179.99,2939.25,-3.87,-179.86,2.1387,0.3835,2.2789,56.22,999.0,-2.1386,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.1076,3,0.0002,0.0051,-0.0161,2999.95,-3.88,179.99,2939.14,-3.87,-179.87,2.2107,1.4389,2.3359,56.33,999.0,-2.2105,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.1448,4,0.0037,0.077,1.9347,2999.95,-3.88,179.99,2939.03,-3.87,-179.88,2.1393,-1.4268,2.3935,56.44,999.0,-2.1356,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.1807,5,0.0003,0.0772,0.006,2999.95,-3.88,179.99,2938.92,-3.87,-179.89,2.1784,0.7811,2.4516,56.55,999.0,-2.1781,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.2176,6,0.0013,0.0236,-1.455,2999.95,-3.88,179.99,2938.81,-3.87,-179.89,2.1411,-0.746,2.5102,56.65,999.0,-2.1397,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.2564,7,0.0013,0.0035,-0.5171,2999.95,-3.88,179.99,2938.7,-3.87,-179.9,2.2441,2.0603,2.5694,56.76,999.0,-2.2428,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.2913,8,0.0013,0.0044,0.0251,2999.95,-3.88,179.99,2938.59,-3.87,-179.91,2.2643,0.4036,2.6292,56.88,999.0,-2.263,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.3282,9,0.0013,0.0039,-0.0136,2999.95,-3.88,179.99,2938.47,-3.87,-179.91,2.3915,2.5438,2.6895,56.99,999.0,-2.3901,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.3631,10,0.0036,0.0975,2.6852,2999.95,-3.88,179.99,2938.35,-3.87,-179.92,2.4326,0.8219,2.7503,57.11,999.0,-2.429,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.3985,11,0.0002,0.0686,-0.817,2999.95,-3.88,179.99,2938.23,-3.87,-179.93,2.5628,2.6058,2.8116,57.24,999.0,-2.5626,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.4334,12,0.0003,0.0065,-1.78,2999.95,-3.88,179.99,2938.1,-3.87,-179.93,2.6132,1.0077,2.8735,57.37,999.0,-2.613,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.4693,13,0.0002,0.0075,0.0282,2999.95,-3.88,179.99,2937.96,-3.87,-179.93,2.7272,2.2795,2.9358,57.5,999.0,-2.727,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.5052,14,0.0004,0.0048,-0.0756,2999.95,-3.88,179.99,2937.83,-3.87,-179.95,2.772,0.896,2.9987,57.64,999.0,-2.7716,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.5406,15,0.001,0.0154,0.3004,2999.95,-3.88,179.99,2937.68,-3.87,-179.96,2.8732,2.0241,3.0621,57.78,999.0,-2.8723,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.5765,16,0.0039,0.0961,2.2478,2999.95,-3.88,179.99,2937.54,-3.87,-179.97,2.9311,1.1573,3.126,57.93,999.0,-2.9272,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.6133,17,0.0009,-0.0606,-4.2494,2999.95,-3.88,179.99,2937.39,-3.87,-179.98,3.0352,2.0835,3.1903,58.08,999.0,-3.0343,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.6488,18,0.0013,0.0442,2.9546,2999.95,-3.88,179.99,2937.23,-3.87,-179.99,3.0983,1.2618,3.2552,58.23,999.0,-3.097,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.6837,19,0.0,0.0266,-0.505,2999.95,-3.88,179.99,2937.08,-3.87,-179.99,3.2006,2.0449,3.3206,58.39,999.0,-3.2006,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.7186,20,0.0042,0.0837,1.6361,2999.95,-3.88,179.99,2936.92,-3.87,-179.99,3.266,1.3088,3.3864,58.55,999.0,-3.2618,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
0.915,21,0.0012,0.1072,0.1198,2999.95,-3.88,179.99,2936.75,-3.87,-179.99,3.3646,1.9708,3.4527,58.72,999.0,-3.3634,999.0,0.0,0.0,0.0021,0.0,manual,1,fixed
